"","","","Mean BMI (kg/m2) (age-standardized estimate)","Mean BMI (kg/m2) (age-standardized estimate)"
"WHO region","Sex","Age Group"," 2014"," 2010"
"Africa"," Both sexes"," 18+  years","23.3 [23-23.5]","23 [22.8-23.2]"
"Africa"," Female"," 18+  years","24 [23.8-24.3]","23.7 [23.5-23.9]"
"Africa"," Male"," 18+  years","22.5 [22.1-22.9]","22.3 [22-22.6]"
"Americas"," Both sexes"," 18+  years","27.5 [27.3-27.7]","27.2 [27-27.3]"
"Americas"," Female"," 18+  years","27.7 [27.3-28]","27.3 [27.1-27.5]"
"Americas"," Male"," 18+  years","27.3 [27-27.6]","27 [26.8-27.2]"
"South-East Asia"," Both sexes"," 18+  years","22.1 [21.8-22.4]","21.8 [21.5-22]"
"South-East Asia"," Female"," 18+  years","22.4 [21.9-22.9]","22 [21.7-22.3]"
"South-East Asia"," Male"," 18+  years","21.9 [21.4-22.4]","21.5 [21.3-21.9]"
"Europe"," Both sexes"," 18+  years","26.4 [26.2-26.6]","26.2 [26-26.3]"
"Europe"," Female"," 18+  years","26.1 [25.8-26.5]","26 [25.8-26.2]"
"Europe"," Male"," 18+  years","26.7 [26.4-27]","26.4 [26.2-26.6]"
"Eastern Mediterranean"," Both sexes"," 18+  years","26.1 [25.8-26.4]","25.7 [25.5-25.9]"
"Eastern Mediterranean"," Female"," 18+  years","26.9 [26.5-27.3]","26.4 [26.2-26.7]"
"Eastern Mediterranean"," Male"," 18+  years","25.4 [24.9-25.8]","25 [24.7-25.3]"
"Western Pacific"," Both sexes"," 18+  years","23.7 [23.3-24.1]","23.3 [23.1-23.6]"
"Western Pacific"," Female"," 18+  years","23.4 [22.9-24]","23.2 [22.8-23.5]"
"Western Pacific"," Male"," 18+  years","24 [23.5-24.6]","23.5 [23.2-23.8]"
"Global"," Both sexes"," 18+  years","24.4 [24.3-24.6]","24.1 [24-24.2]"
"Global"," Female"," 18+  years","24.6 [24.3-24.8]","24.3 [24.1-24.4]"
"Global"," Male"," 18+  years","24.3 [24.1-24.5]","24 [23.8-24.1]"
