"","","","Mean BMI (kg/m2) (age-standardized estimate)","Mean BMI (kg/m2) (age-standardized estimate)"
"Country","Sex","Age Group"," 2014"," 2010"
"Afghanistan"," Both sexes"," 18+  years","21.6 [19.7-23.6]","21.2 [19.3-23.1]"
"Afghanistan"," Female"," 18+  years","21.8 [18.6-25]","21.2 [18.3-24.4]"
"Afghanistan"," Male"," 18+  years","21.5 [19-23.9]","21.1 [18.8-23.5]"
"Albania"," Both sexes"," 18+  years","26.1 [25.4-26.9]","25.9 [25.3-26.5]"
"Albania"," Female"," 18+  years","25.6 [24.6-26.7]","25.6 [24.7-26.4]"
"Albania"," Male"," 18+  years","26.6 [25.6-27.5]","26.3 [25.5-27]"
"Algeria"," Both sexes"," 18+  years","26.2 [25.1-27.5]","25.9 [24.8-27]"
"Algeria"," Female"," 18+  years","27 [25.1-28.9]","26.7 [24.9-28.5]"
"Algeria"," Male"," 18+  years","25.5 [23.9-27.1]","25.1 [23.7-26.6]"
"Andorra"," Both sexes"," 18+  years","27.5 [25.4-29.3]","27.3 [25.5-29.3]"
"Andorra"," Female"," 18+  years","27.1 [24.1-30.2]","27.1 [24.2-30]"
"Andorra"," Male"," 18+  years","27.8 [25.4-30.3]","27.5 [25.2-29.9]"
"Angola"," Both sexes"," 18+  years","24.1 [22-26.2]","23.6 [21.8-25.6]"
"Angola"," Female"," 18+  years","24.6 [21.5-27.8]","24.1 [21.1-27.1]"
"Angola"," Male"," 18+  years","23.5 [21-26.1]","23.1 [20.7-25.6]"
"Antigua and Barbuda"," Both sexes"," 18+  years","28.4 [26.3-30.4]","27.9 [26-29.7]"
"Antigua and Barbuda"," Female"," 18+  years","29.5 [26.3-32.5]","28.9 [25.9-31.8]"
"Antigua and Barbuda"," Male"," 18+  years","27.3 [24.9-29.8]","26.8 [24.5-29.2]"
"Argentina"," Both sexes"," 18+  years","27.7 [26.8-28.6]","27.2 [26.5-28]"
"Argentina"," Female"," 18+  years","27.5 [26.3-28.8]","27.1 [26.2-28.1]"
"Argentina"," Male"," 18+  years","27.8 [26.5-29.1]","27.4 [26.3-28.4]"
"Armenia"," Both sexes"," 18+  years","26.7 [25.8-27.6]","26.3 [25.5-27.1]"
"Armenia"," Female"," 18+  years","27.4 [26.1-28.8]","27.1 [26.1-28.2]"
"Armenia"," Male"," 18+  years","25.9 [24.7-27.3]","25.5 [24.5-26.6]"
"Australia"," Both sexes"," 18+  years","27.2 [26.7-27.6]","26.9 [26.7-27.2]"
"Australia"," Female"," 18+  years","26.8 [26.2-27.4]","26.6 [26.2-27]"
"Australia"," Male"," 18+  years","27.6 [27-28.1]","27.3 [26.9-27.7]"
