","""","""",""BMI &gt";"= 30 (age-standardized estimate)"",""BMI &gt";"= 30 (age-standardized estimate)"",""BMI &gt";"= 30 (age-standardized estimate)"""
"WHO region,""Year"",""Age Group"","" Both sexes"","" Female"","" Male""";;;
"Africa,"" 2014"","" 18+  years"",""10.4 [9.2-11.5]"",""15.2 [13.3-17.3]"",""5.5 [4.3-6.8]""";;;
"Africa,"" 2010"","" 18+  years"",""9 [8.1-9.8]"",""13.3 [12-14.7]"",""4.6 [3.8-5.5]""";;;
"Americas,"" 2014"","" 18+  years"",""26.8 [24.5-29.2]"",""29.6 [26.4-33]"",""24 [20.9-27.2]""";;;
"Americas,"" 2010"","" 18+  years"",""24.6 [23-26.2]"",""27.4 [25.2-29.8]"",""21.7 [19.5-23.9]""";;;
"South-East Asia,"" 2014"","" 18+  years"",""5 [3.9-6.1]"",""6.8 [5.1-9.1]"",""3.2 [2.1-4.7]""";;;
"South-East Asia,"" 2010"","" 18+  years"",""4 [3.3-4.7]"",""5.6 [4.5-7]"",""2.5 [1.8-3.3]""";;;
"Europe,"" 2014"","" 18+  years"",""23 [20.7-25.2]"",""24.5 [21.5-27.7]"",""21.5 [18.7-24.3]""";;;
"Europe,"" 2010"","" 18+  years"",""21.2 [19.6-22.7]"",""23 [20.7-25.2]"",""19.3 [17.3-21.3]""";;;
"Eastern Mediterranean,"" 2014"","" 18+  years"",""19 [17-21]"",""23.6 [20.4-26.9]"",""14.6 [12-17.5]""";;;
"Eastern Mediterranean,"" 2010"","" 18+  years"",""17.1 [15.6-18.5]"",""21.6 [19.4-24]"",""12.8 [11-14.7]""";;;
"Western Pacific,"" 2014"","" 18+  years"",""6.9 [4.9-8.7]"",""7.9 [5.4-11.2]"",""5.9 [3.7-8.6]""";;;
"Western Pacific,"" 2010"","" 18+  years"",""5.4 [4.2-6.4]"",""6.3 [4.7-8.3]"",""4.4 [3.2-6]""";;;
"Global,"" 2014"","" 18+  years"",""12.9 [12-13.9]"",""15.2 [13.8-16.8]"",""10.7 [9.4-12]""";;;
"Global,"" 2010"","" 18+  years"",""11.5 [10.8-12.1]"",""13.7 [12.7-14.7]"",""9.3 [8.5-10.2]""";;;
