"country,""indicator"",""measure"",""category"",""Unit"",""Date"",""Value"""
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",17.5"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",18"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",17.4"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",16.7"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",42"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",42.6"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",42.1"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",45"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",24.2"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",25.1"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",27.5"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",27.2"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",53.1"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",54.1"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",61.5"
"Andean Latin America,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",66.7"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",19.7"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",19.8"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",21"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",20.5"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",49.9"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",50"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",51.2"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",51.9"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",24.1"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",24.3"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",28"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",28.2"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",45.1"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",44.8"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",56"
"Bolivia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",62"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",11.6"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",12.6"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",12.9"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",13.7"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",35.1"
